,tweets,sentiments
923,yall eat maggiramen fun way make,slightly positive
921,rt know person facebook need hear,neutral
516,rt going tell kids generation part avengers team 2020 saved country villein…,neutral
87,oh yes matter many times ’ told it🙄🥴have good evening maggi😊🐶🧡,negative
879,everyone turn noti posting streamers link 4 minutes sharp got ta spam maggi raid okayyyyy,neutral
463,rt za stand chance win weekly pick n pay grocery vouchers social media plus extra sauce ’ r50 000…,positive
112,rt cheese n toast upgrade toast gt cheese gt pepperoni gt diced tomatoes gt onion gt cheese topped honey mus…,neutral
297,rt gop house candidate people dont need insurance pay medical bills savings,positive
417,matilde alexa play rolling girl hatsune miku,neutral
658,im craving maggi,neutral
344,omg eat maggi,neutral
830,rt fridayfeeling barely believe mary finally coming newington green tuesday 10th november mag…,negative
10,rt cheese n toast upgrade toast gt cheese gt pepperoni gt diced tomatoes gt onion gt cheese topped honey mus…,neutral
56,rt dr maggi restricting access lethal means harming oneself evidencebased way save lives cd…,neutral
615,rt going tell kids generation part avengers team 2020 saved country villein…,neutral
479,rt going tell kids generation part avengers team 2020 saved country villein…,neutral
577,ok nvrmind im gon na go home cook maggi 👀,neutral
411,rt feeling proud chef 😂 thanks oats maggi boiled eggs black coffee,slightly positive
521,rt going tell kids generation part avengers team 2020 saved country villein…,neutral
935,alamak thinking chicken chop maggi goreng aiyo,neutral
996,people chose yippee maggi depressed now🙂,neutral
340,rt one eating maggi n roaming beach cbispeedupssrcase,negative
152,rt pata poor man wey steal maggi dehm go show face crime fighter rich man wey steal money dey see face for…,negative
348,rt aderinsola picture ’ go far first time posted ’ reposting nigeria 🤟,slightly positive
199,rt told well see happens,neutral
779,rt trump biden doesnt matter pidilite would continue sell fevicol nestle would continue sell maggi itc would conti…,neutral
988,rt trump biden doesnt matter pidilite would continue sell fevicol nestle would continue sell maggi itc would conti…,neutral
373,lazy cook dinner ’ eat maggi goreng pedas giler telur goreng tepu tak cycle today 😭,neutral
734,rt jaram hopeworld bts7 5 twt…,neutral
648,rt avoid going shopping trips gulf countries choose singapore,negative
331,lets gooooooooooo,neutral
148,maggi goreng horlick ais,neutral
817,ariel love maggi 👶💗never grows baby rugrat 🤣🤣,slightly positive
100,rt cheese n toast upgrade toast gt cheese gt pepperoni gt diced tomatoes gt onion gt cheese topped honey mus…,neutral
945,rt maggi hamblings memorial sculpture marywollstonecraft coming newingtongreen tuesday 10 nov reposting …,neutral
454,eat maggi bowl plate tryna see something,neutral
724,dar amor charmy twt,neutral
3,rt started ’ going,neutral
212,rt cheese n toast upgrade toast gt cheese gt pepperoni gt diced tomatoes gt onion gt cheese topped honey mus…,neutral
815,soupy maggi gtgtgtgtgtgt maggi ill take bowl,neutral
505,wish best luck saucysummer,positive
841,dont forget maggi masala lmao 😂,neutral
492,rt maggi 2minute special masala instant noodles 70g pack 12 rs153 link,slightly positive
80,hate people spend 30 mins making maggi🍝 supposed instant noodles let junk foo,negative
932,maggi feel fresh af,neutral
107,laycon u forget maggi,neutral
385,target usualmaggi law makers hav 2 b paid offthat way 2 secure vote vote,neutral
88,tweets1 new years resolution 2021 ready throw bets,slightly positive
908,rt devi bachpan initiative dularidevifounation open forum kids lets enter maggi ki duni…,neutral
389,heard northern celebrities know come onga maggi star adverts endsars securenorthernnigeria,neutral
672,dreamt pet duck fed maggi everyday named ducku best dream ive weeks 💗😭,positive
663,hate break mark ’ even handle maggi curry,negative
69,name superior maggi tom yam ’ wait,neutral
661,cara lain masak maggi dah try buat dozen times fucking good 🤤,negative
637,cook curry know maggi curry 😎✌🏽,positive
196,rt cheese n toast upgrade toast gt cheese gt pepperoni gt diced tomatoes gt onion gt cheese topped honey mus…,neutral
541,rt going tell kids generation part avengers team 2020 saved country villein…,neutral
731,rt audio today trump attacking dr fauci sounds even worse looked transcript…,neutral
973,rt trump biden doesnt matter pidilite would continue sell fevicol nestle would continue sell maggi itc would conti…,neutral
0,’ surprised takes bag rice two maggi,neutral
266,mint luvs maggi liked,neutral
21,maggi kind say thank support julie ♥️,neutral
963,maggi move whatsapp,neutral
357,maggi extra hot chilli sauce better tryit,slightly positive
171,rt cheese n toast upgrade toast gt cheese gt pepperoni gt diced tomatoes gt onion gt cheese topped honey mus…,neutral
547,lot research gone making sure noodles made 2 minutes cook,slightly positive
510,means hes iron bottom maggi roni raygun fan amusing deal breaker,neutral
538,rt devi bachpan initiative dularidevifounation open forum kids lets enter maggi ki duni…,neutral
559,rt going tell kids generation part avengers team 2020 saved country villein…,neutral
128,2011 thinking trying mix 2 popular food 1 milo maggi popular malays,neutral
794,oh god telur maggi months,neutral
192,rainmaggi midnightmaggi gtgtgtgtgtgtgtgtgtgtgtgtgtgtgtgtgt,neutral
640,follow ill blow maggi masala eyes,neutral
693,ive eating maggi pedas giler weeks since idk parents couldnt even feel bother bu,negative
281,still comtemplating whether aer maggi notbut snacks,neutral
653,kari ayam last friday prata curry sunday maggi curry last night kari udang today gahsj man ’ wild,neutral
939,rt devi bachpan initiative dularidevifounation open forum kids lets enter maggi ki duni…,neutral
180,rt maggi yippee,neutral
399,untensil used make maggi use bowl,negative
503,za thank fingers crossed,neutral
578,rt going tell kids generation part avengers team 2020 saved country villein…,neutral
660,rt fuck soupy maggi homies dry maggi,neutral
310,rt seems like covid19 palliative case quite noble gesture content also rich qualit…,positive
785,rt thoroughly enjoying descriptions illustrations alessio figallis career work optimal mass tr…,neutral
786,yall bitches mad bcs nun yall toxico like mine,neutral
167,david leigh ceo shares experience global multisite organisation enabled us readily adapt,neutral
533,rich quality palliatives unlike packets maggi read slowly time see sounds,slightly positive
